RegionID,SizeRank,RegionName,RegionType,StateName,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020
102001,0,United States,Country,,221515.3444,222516.2485,223581.5286,224847.9174,225922.326,227565.1443,229337.1806,230984.1728,232500.9697,233532.3995,234137.2108,234749.3859,235305.4946,235834.3331,236557.0082,237409.0145,238227.5896,239199.0779,240334.2236,241476.9701,242570.6383,243241.3547,243547.1162,243914.6956,244366.3701,244836.9562,245331.1626,246233.6156,247372.6677,248802.018,250773.1852,252283.7171,252679.6284,253736.5458,255693.0525,257922.9368,260433.2565,263335.926,266252.2746,268968.4278
394913,1,"New York, NY",Msa,NY,452798.0349,453725.3053,454705.1606,455694.2639,458950.5928,462156.1114,465244.061,469595.423,471816.6075,472492.7098,472948.6778,473473.4655,474555.3162,475454.5205,476081.113,476194.8457,476652.0204,477885.2391,479803.3391,481716.7469,483137.7557,482837.5351,482869.8367,481846.4297,480214.7344,479193.3877,478794.1161,479798.8077,481256.1748,483134.2821,485475.6243,488579.9458,489242.939,489879.7457,493483.9054,496634.5382,502635.434,508415.5587,513130.6343,518268.3517
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,630253.8252,634037.8464,643551.7319,648774.4775,649928.9818,659571.9037,664672.3463,666960.3943,670526.8839,674009.2739,662539.369,663911.1235,665772.1482,668137.7674,668909.8143,666701.0346,667194.8389,665472.8069,665209.184,670230.9405,672466.8494,672434.1187,664380.802,668690.1675,673689.8579,676412.9115,676504.6643,682304.3981,688139.736,698336.3525,706634.7425,707352.9571,694387.5662,698040.1295,706731.8821,716158.8517,724766.8971,737914.1148,740356.6925,746619.6026
394463,3,"Chicago, IL",Msa,IL,231688.5667,232416.6202,232647.5236,234111.2146,235910.3583,236708.7786,238123.9675,240579.4824,241641.1419,242375.0456,242180.3216,241789.2505,241787.2924,241247.2368,241021.758,241131.7989,241391.8433,243125.1197,244617.4606,245949.397,247181.5849,246983.8997,246563.4919,245999.4425,244656.2544,243907.2875,243506.3692,243189.3509,244384.7992,245527.1187,247070.782,247880.8359,248535.9674,249338.4727,251288.6687,252641.3857,256012.9522,258346.1234,258720.5127,260904.2344
394514,4,"Dallas-Fort Worth, TX",Msa,TX,226745.6413,228531.1336,230063.6897,231660.6155,233199.2021,235783.4915,238019.8538,239904.7673,241321.3526,242804.4355,243017.0152,242737.3372,243113.8736,243977.2482,245466.3635,247200.6669,248734.3869,249012.8109,249927.064,250954.9016,251559.6102,251433.97,251685.3793,251733.501,252604.525,251204.7338,252259.2745,252321.9584,253974.1214,255446.3545,257100.527,257945.8147,258601.8321,260258.0336,261267.6447,263597.9805,265585.2582,268484.7709,270597.9755,273576.0672
394974,5,"Philadelphia, PA",Msa,PA,230601.0427,231723.9235,232309.1237,233016.32,233660.2221,235449.6296,238151.0664,239768.0628,240626.3935,241229.5541,241632.5333,241552.566,242018.2178,242130.5561,243135.8824,243893.8476,244409.7601,244991.904,247479.9509,248210.6624,249293.0707,249697.1541,250111.2807,250227.0042,249872.3684,249976.8279,250510.6214,251677.2365,252115.1231,253162.3102,254142.8957,257242.7909,258158.0313,259766.2116,262678.7966,265623.334,268146.0633,272512.9382,275033.7049,278390.269
394692,6,"Houston, TX",Msa,TX,200017.1188,200092.1854,200567.1411,201432.0258,201735.1196,202328.8043,204002.6101,206009.4679,207062.0104,207447.6127,208099.7888,208610.9471,208981.6441,209367.9022,209665.6082,210264.5616,212042.0413,212591.1922,212771.7351,213416.9031,214681.919,215088.1204,215562.1703,215171.1104,214727.1362,216119.5451,216068.6977,215843.8029,215720.2941,217301.2944,218955.661,220189.8342,220709.0041,220908.7114,221924.8127,222733.9992,225364.2543,226831.3443,228985.2901,231327.6913
395209,7,"Washington, DC",Msa,DC,408295.4501,409669.8598,411238.352,411006.1521,412143.0546,414220.4964,416811.687,419925.2811,421888.533,422431.6659,422256.0577,421771.4273,421575.9859,422222.3877,422420.0081,425285.9042,427020.816,429128.1263,430864.4639,432620.6331,432738.0958,433349.5446,431785.389,433646.2762,435030.4075,435700.8255,437997.1927,438770.0211,438618.697,442052.4539,444531.6772,447727.1799,447686.8429,450522.9147,454921.9136,458394.67,462998.9297,467279.6017,472338.397,476601.1767
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,275127.6664,277656.4505,277005.8605,278955.6152,279498.9403,281927.1261,284023.6254,284942.1853,287341.3926,288130.0918,289486.395,290256.8211,290459.7339,290893.1266,294691.1663,294739.0852,294755.9972,294466.2492,295556.6713,296669.2373,296001.5511,297623.5764,297735.9362,296822.9557,297899.2883,299679.1062,298722.8847,299118.9813,301467.8442,304729.8995,304305.2081,306745.7294,308038.4357,306833.4722,308360.4409,312179.0146,314049.7414,316668.6853,319230.2161,323155.0525
394347,9,"Atlanta, GA",Msa,GA,207299.8703,208211.1529,209937.4836,212275.6138,213693.9953,215685.2336,217459.8004,219343.7183,221023.7103,222595.8597,223914.9438,224967.8109,226476.4742,228034.4989,229060.7525,229884.0113,230320.4247,231801.32,234221.9446,235442.9364,236080.1363,236142.6337,237151.3214,237936.9888,238325.509,238892.4501,239880.1317,240936.4555,241672.4226,244026.5408,245313.425,246538.3668,247061.3351,248522.6524,250601.1422,252585.1136,255194.2698,258260.3648,261313.1337,264833.098
